"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\package-lock.json", "JSON", 0, 0, 0, 33027, 0, 0, 1, 33028
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\package.json", "JSON", 0, 0, 0, 51, 0, 0, 1, 52
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\public\index.html", "HTML", 0, 0, 0, 0, 18, 0, 3, 21
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\App.js", "JavaScript", 18, 0, 0, 0, 0, 23, 3, 44
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\LoginStudents.js", "JavaScript", 94, 0, 0, 0, 0, 0, 9, 103
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\LoginUser.js", "JavaScript", 116, 0, 0, 0, 0, 0, 10, 126
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\MainNavBar.js", "JavaScript", 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\AdminMain.js", "JavaScript", 33, 0, 0, 0, 0, 20, 5, 58
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\AdminSideBar.js", "JavaScript", 70, 0, 0, 0, 0, 0, 8, 78
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Configuration\AccountConfiguration.js", "JavaScript", 61, 0, 0, 0, 0, 0, 8, 69
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Configuration\ConfigurationInterface.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Equipment\BadgesEquipment.js", "JavaScript", 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Equipment\CreateEquipment.js", "JavaScript", 156, 0, 0, 0, 0, 153, 25, 334
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Equipment\EquipmentInterface.js", "JavaScript", 50, 0, 0, 0, 0, 1, 9, 60
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Equipment\ShowEquipment.js", "JavaScript", 53, 0, 0, 0, 0, 1, 8, 62
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Equipment\ShowInfoEquipment.js", "JavaScript", 171, 0, 0, 0, 0, 0, 11, 182
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\NavBarAdmin.js", "JavaScript", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\NewSemester\ConfirmSubmit.js", "JavaScript", 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\NewSemester\DataVerified.js", "JavaScript", 93, 0, 0, 0, 0, 0, 10, 103
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\NewSemester\LoadExcelFile.js", "JavaScript", 45, 0, 0, 0, 0, 0, 6, 51
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\NewSemester\LoadSheetData.js", "JavaScript", 422, 0, 0, 0, 0, 0, 78, 500
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\NewSemester\NewSemesterInterface.js", "JavaScript", 59, 0, 0, 0, 0, 0, 14, 73
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\NewSemester\ShowInfoData\ShowExistNoChanges.js", "JavaScript", 52, 0, 0, 0, 0, 0, 8, 60
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\NewSemester\ShowInfoData\ShowExistWithChange.js", "JavaScript", 91, 0, 0, 0, 0, 0, 9, 100
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\NewSemester\ShowInfoData\ShowNoExistentData.js", "JavaScript", 52, 0, 0, 0, 0, 0, 8, 60
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Students\CreateStudent.js", "JavaScript", 172, 0, 0, 0, 0, 1, 22, 195
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Students\ShowStudents.js", "JavaScript", 45, 0, 0, 0, 0, 1, 7, 53
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Students\StudentsInterface.js", "JavaScript", 65, 0, 0, 0, 0, 3, 12, 80
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Teachers\ShowTeachers.js", "JavaScript", 43, 0, 0, 0, 0, 1, 7, 51
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Teachers\TeachersInterface.js", "JavaScript", 63, 0, 0, 0, 0, 3, 12, 78
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Users\BadgesUsers.js", "JavaScript", 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Users\CreateUser.js", "JavaScript", 99, 0, 0, 0, 0, 63, 17, 179
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Users\EditUser.js", "JavaScript", 127, 0, 0, 0, 0, 1, 16, 144
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Users\Register.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Users\RegisterAdmin.js", "JavaScript", 155, 0, 0, 0, 0, 0, 17, 172
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Users\RegisterReceptionist.js", "JavaScript", 155, 0, 0, 0, 0, 0, 17, 172
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Users\ShowInfoUser.js", "JavaScript", 86, 0, 0, 0, 0, 0, 10, 96
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Users\ShowUsers.js", "JavaScript", 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Users\UserType.js", "JavaScript", 129, 0, 0, 0, 0, 0, 18, 147
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Admin\Users\UsersInterface.js", "JavaScript", 69, 0, 0, 0, 0, 3, 11, 83
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\ApiUrls.js", "JavaScript", 41, 0, 0, 0, 0, 10, 11, 62
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Order\OrdersMain.js", "JavaScript", 332, 0, 0, 0, 0, 0, 30, 362
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Receptionist\Orders\OrdersInterface.js", "JavaScript", 130, 0, 0, 0, 0, 0, 13, 143
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Receptionist\ReceptionistMain.js", "JavaScript", 39, 0, 0, 0, 0, 0, 3, 42
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Receptionist\ReceptionistSideBar.js", "JavaScript", 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Receptionist\Requests\RequestsInterface.js", "JavaScript", 97, 0, 0, 0, 0, 1, 11, 109
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\components\api\Receptionist\Requests\ShowRequestInfo.js", "JavaScript", 78, 0, 0, 0, 0, 0, 4, 82
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\config\Auth.js", "JavaScript", 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Hp\OneDrive\Documentos\TOPICOS SELECTOS\tec-class\dmclab-frontend\src\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
